"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",67.864076,239.687510,3,79.895836,76.091177,81.973347,"[CUDA memcpy HtoD]"
"GPU activities",32.135924,113.500103,1,113.500103,113.500103,113.500103,"[CUDA memcpy DtoH]"
"API calls",56.493388,355.019969,4,88.754992,76.478296,114.309537,"cudaMemcpy"
"API calls",34.250484,215.239448,3,71.746482,0.501714,214.159790,"cudaMalloc"
"API calls",8.450313,53.104087,3,17.701362,0.506059,26.306684,"cudaFree"
"API calls",0.425453,2.673661,388,0.006890,0.000284,0.293593,"cuDeviceGetAttribute"
"API calls",0.328125,2.062025,4,0.515506,0.507350,0.530222,"cuDeviceTotalMem"
"API calls",0.043275,0.271953,4,0.067988,0.061955,0.080597,"cuDeviceGetName"
"API calls",0.006374,0.040059,4,0.010014,0.003924,0.026852,"cuDeviceGetPCIBusId"
"API calls",0.001146,0.007204,8,0.000900,0.000369,0.001932,"cuDeviceGet"
"API calls",0.000595,0.003741,3,0.001247,0.000294,0.002256,"cuDeviceGetCount"
"API calls",0.000528,0.003319,1,0.003319,0.003319,0.003319,"cudaLaunchKernel"
"API calls",0.000318,0.002001,4,0.000500,0.000387,0.000764,"cuDeviceGetUuid"
