"Type","Time(%)","Time","Calls","Avg","Min","Max","Name"
,%,ms,,ms,ms,ms,
"GPU activities",47.291975,2.576778,1,2.576778,2.576778,2.576778,"[CUDA memcpy DtoH]"
"GPU activities",42.896067,2.337260,3,0.779086,0.775482,0.786137,"[CUDA memcpy HtoD]"
"GPU activities",9.811957,0.534620,1,0.534620,0.534620,0.534620,"vecGPU(float*, float*, float*, int, int)"
"API calls",95.999087,333.978875,3,111.326291,0.238663,333.499116,"cudaMalloc"
"API calls",2.326403,8.093510,4,2.023377,0.998201,5.064581,"cudaMemcpy"
"API calls",1.141153,3.970049,194,0.020464,0.000203,3.448698,"cuDeviceGetAttribute"
"API calls",0.268123,0.932796,2,0.466398,0.464858,0.467938,"cuDeviceTotalMem"
"API calls",0.195707,0.680862,3,0.226954,0.178087,0.320428,"cudaFree"
"API calls",0.040557,0.141098,1,0.141098,0.141098,0.141098,"cudaLaunchKernel"
"API calls",0.020032,0.069692,2,0.034846,0.028514,0.041178,"cuDeviceGetName"
"API calls",0.007501,0.026095,2,0.013047,0.003076,0.023019,"cuDeviceGetPCIBusId"
"API calls",0.000740,0.002574,3,0.000858,0.000254,0.001925,"cuDeviceGetCount"
"API calls",0.000496,0.001727,4,0.000431,0.000198,0.001092,"cuDeviceGet"
"API calls",0.000199,0.000691,2,0.000345,0.000323,0.000368,"cuDeviceGetUuid"
